A,B,C,D
"SCO4167","SCO4385","SCO0047","SCO4612"
"SCO4167","SCO4385","SCO0047","SCO4820"
"SCO4167","SCO4385","SCO0047","SCO4824"
"SCO4167","SCO4385","SCO0047","SCO4862"
"SCO4167","SCO4385","SCO0047","SCO5269"
"SCO4167","SCO4385","SCO0047","SCO5329"
"SCO4167","SCO4385","SCO0047","SCO5638"
"SCO4167","SCO4385","SCO0047","SCO5748"
"SCO4167","SCO4385","SCO0047","SCO5931"
"SCO4167","SCO4385","SCO0047","SCO6268"
"SCO4167","SCO4385","SCO0047","SCO6280"
"SCO4167","SCO4385","SCO0047","SCO6627"
"SCO4167","SCO4385","SCO0293","SCO0449"
"SCO4167","SCO4385","SCO0293","SCO0465"
"SCO4167","SCO4385","SCO0293","SCO0492"
"SCO4167","SCO4385","SCO0293","SCO0632"
"SCO4167","SCO4385","SCO0293","SCO0724"
"SCO4167","SCO4385","SCO0293","SCO0960"
"SCO4167","SCO4385","SCO0293","SCO1129"
"SCO4167","SCO4385","SCO0293","SCO1130"
"SCO4167","SCO4385","SCO0293","SCO1167"
"SCO4167","SCO4385","SCO0293","SCO1227"
"SCO4167","SCO4385","SCO0293","SCO1978"
"SCO4167","SCO4385","SCO0293","SCO1979"
"SCO4167","SCO4385","SCO0293","SCO2026"
"SCO4167","SCO4385","SCO0293","SCO2180"
"SCO4167","SCO4385","SCO0293","SCO2383"
"SCO4167","SCO4385","SCO0293","SCO2397"
"SCO4167","SCO4385","SCO0293","SCO2398"
"SCO4167","SCO4385","SCO0293","SCO2463"
"SCO4167","SCO4385","SCO0293","SCO2566"
"SCO4167","SCO4385","SCO0293","SCO2608"
"SCO4167","SCO4385","SCO0293","SCO2776"
"SCO4167","SCO4385","SCO0293","SCO3177"
"SCO4167","SCO4385","SCO0293","SCO3445"
"SCO4167","SCO4385","SCO0293","SCO3446"
"SCO4167","SCO4385","SCO0293","SCO3549"
"SCO4167","SCO4385","SCO0293","SCO3550"
"SCO4167","SCO4385","SCO0293","SCO3721"
"SCO4167","SCO4385","SCO0293","SCO3998"
"SCO4167","SCO4385","SCO0293","SCO4090"
"SCO4167","SCO4385","SCO0293","SCO4281"
"SCO4167","SCO4385","SCO0293","SCO4282"
"SCO4167","SCO4385","SCO0293","SCO4377"
"SCO4167","SCO4385","SCO0293","SCO4522"
"SCO4167","SCO4385","SCO0293","SCO4612"
"SCO4167","SCO4385","SCO0293","SCO4820"
"SCO4167","SCO4385","SCO0293","SCO4824"
"SCO4167","SCO4385","SCO0293","SCO4862"
"SCO4167","SCO4385","SCO0293","SCO5269"
"SCO4167","SCO4385","SCO0293","SCO5329"
"SCO4167","SCO4385","SCO0293","SCO5638"
"SCO4167","SCO4385","SCO0293","SCO5748"
"SCO4167","SCO4385","SCO0293","SCO5931"
"SCO4167","SCO4385","SCO0293","SCO6268"
"SCO4167","SCO4385","SCO0293","SCO6280"
"SCO4167","SCO4385","SCO0293","SCO6627"
"SCO4167","SCO4385","SCO0449","SCO0465"
"SCO4167","SCO4385","SCO0449","SCO0492"
