genome	regulator	target
Streptomyces_coelicolor_A32	SCO0734	"SCO0734,SCO0735,SCO5423,SCO5424"
Streptomyces_coelicolor_A32	SCO0745	"SCO0745,SCO0746,SCO1406,SCO1407,SCO2686,SCO4011,SCO4409,SCO5193,SCO5610,SCO7108,SCO7120,SCO7121"
Streptomyces_coelicolor_A32	SCO0772	"SCO0771,SCO0772"
Streptomyces_coelicolor_A32	SCO0794	"SCO0544,SCO0545,SCO0786,SCO0787,SCO0794,SCO6600,SCO6601"
Streptomyces_coelicolor_A32	SCO0800	"SCO0800,SCO0801"
Streptomyces_coelicolor_A32	SCO0806	"SCO0372,SCO0373,SCO0487,SCO0488,SCO0812,SCO1539"
Streptomyces_coelicolor_A32	SCO0822	"SCO0822,SCO0823,SCO2894"
Streptomyces_coelicolor_A32	SCO0823	"SCO0822,SCO0823,SCO5032,SCO5033,SCO5159,SCO7765,SCO7766"
Streptomyces_coelicolor_A32	SCO0840	"SCO0839,SCO0840,SCO1701,SCO1702,SCO2079,SCO2208,SCO2209,SCO3557,SCO5261,SCO5729,SCO6114,SCO6676,SCO6834,SCO7273,SCO7500"
Streptomyces_coelicolor_A32	SCO0857	"SCO0856,SCO0857,SCO2774,SCO2775,SCO3339,SCO3340,SCO5256,SCO5658,SCO5659"
Streptomyces_coelicolor_A32	SCO0875	"SCO0856,SCO0857,SCO0875,SCO0876,SCO0952,SCO1340,SCO1792,SCO2007,SCO2374,SCO2375,SCO2615,SCO2627,SCO2628,SCO3045,SCO3216,SCO3261,SCO3331,SCO3332,SCO3339,SCO3522,SCO3548,SCO3625,SCO3626,SCO3842,SCO4629,SCO4878,SCO4879,SCO4883,SCO5207,SCO5208,SCO5356,SCO5794,SCO6239,SCO6373,SCO6374,SCO6447,SCO6448,SCO6846,SCO6906"
Streptomyces_coelicolor_A32	SCO0886	"SCO0995,SCO1469,SCO1499,SCO1684,SCO2110,SCO2373,SCO2374,SCO2493,SCO3389,SCO3390,SCO5023,SCO5375,SCO5598,SCO6029,SCO6326,SCO6457,SCO7507"
Streptomyces_coelicolor_A32	SCO0887	"SCO0887,SCO0888"
